"","x"
"26","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"27","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"28","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"29","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"30","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"31","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"32","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"33","Bouchenak_Khelladi_et_al_2015_On_the_complexity_of_triggering_evolutionary_radia.txt"
"34","Breitkopf_et_al_2015_Multiple_shifts_to_different_pollinators_fuelled_r.txt"
"35","Bromham_et_al_2016_Detecting_Macroevolutionary_Self_Destruction_from.txt"
"36","Bruun_Lund_et_al_2018_Rush_hour_at_the_Museum_–_Diversification_patterns.txt"
"37","Bruun_Lund_et_al_2018_Rush_hour_at_the_Museum_–_Diversification_patterns.txt"
"38","Chauveau_et_al_2012_Oil_producing_flowers_within_the_Iridoideae_Irida.txt"
"39","Chen_et_al_2020_Biogeographic_diversification_of_Mahonia_Berberid"
"40","Day_et_al_2016_Is_specialization_an_evolutionary_dead_end_Testin.txt"
"41","Day_et_al_2016_Is_specialization_an_evolutionary_dead_end_Testin.txt"
"42","de_Vos_et_al_2014_Heterostyly_accelerates_diversification_via_reduce.txt"
"43","de_Vos_et_al_2014_Heterostyly_accelerates_diversification_via_reduce.txt"
"44","Drummond_et_al_2012_Multiple_continental_radiations_and_correlates_of.txt"
"45","Drummond_et_al_2012_Multiple_continental_radiations_and_correlates_of.txt"
"46","Estep_et_al_2014_Allopolyploidy_diversification_and_the_Miocene_g.txt"
"47","Fernández_Mazuecos_et_al_2013_Corolla_morphology_influences_diversification_rate.txt"
"48","Fernández_Mazuecos_et_al_2019_Macroevolutionary_dynamics_of_nectar_spurs_a_key.txt"
"49","Folk_and_Freudenstein_2014_Phylogenetic_relationships_and_character_evolution.txt"
"50","Folk_and_Freudenstein_2014_Phylogenetic_relationships_and_character_evolution.txt"
"51","Folk_and_Freudenstein_2014_Phylogenetic_relationships_and_character_evolution.txt"
"52","Frenzke_et_al_2016_Evolution_of_epiphytism_and_fruit_traits_act_uneve.txt"
"53","Frenzke_et_al_2016_Evolution_of_epiphytism_and_fruit_traits_act_uneve.txt"
"54","Frenzke_et_al_2016_Evolution_of_epiphytism_and_fruit_traits_act_uneve.txt"
"55","Frenzke_et_al_2016_Evolution_of_epiphytism_and_fruit_traits_act_uneve.txt"
"56","Frenzke_et_al_2016_Evolution_of_epiphytism_and_fruit_traits_act_uneve.txt"
"57","Freudenstein_and_Chase_2015_Phylogenetic_relationships_in_Epidendroideae_Orch.txt"
"58","Freudenstein_and_Chase_2015_Phylogenetic_relationships_in_Epidendroideae_Orch.txt"
"59","Freudenstein_and_Chase_2015_Phylogenetic_relationships_in_Epidendroideae_Orch.txt"
"60","Freudenstein_and_Chase_2015_Phylogenetic_relationships_in_Epidendroideae_Orch.txt"
"61","Freudenstein_and_Chase_2015_Phylogenetic_relationships_in_Epidendroideae_Orch.txt"
"62","Gamisch_et_al_2015_Multiple_independent_origins_of_auto_pollination_i.txt"
"63","Gavrutenko_et_al_2020_Evolution_of_Floral_Morphology_and_Symmetry_in_the.txt"
"64","Givnish_et_al_2014_Adaptive_radiation_correlated_and_contingent_evol.txt"
"65","Givnish_et_al_2014_Adaptive_radiation_correlated_and_contingent_evol.txt"
"66","Givnish_et_al_2014_Adaptive_radiation_correlated_and_contingent_evol.txt"
"67","Givnish_et_al_2014_Adaptive_radiation_correlated_and_contingent_evol.txt"
"68","Givnish_et_al_2015_Orchid_phylogenomics_and_multiple_drivers.txt"
"69","Givnish_et_al_2015_Orchid_phylogenomics_and_multiple_drivers.txt"
"70","Givnish_et_al_2015_Orchid_phylogenomics_and_multiple_drivers.txt"
"71","Givnish_et_al_2015_Orchid_phylogenomics_and_multiple_drivers.txt"
"72","Givnish_et_al_2015_Orchid_phylogenomics_and_multiple_drivers.txt"
"73","Givnish_et_al_2016_Orchid_historical_biogeography_diversification_A.txt"
"74","Givnish_et_al_2016_Orchid_historical_biogeography_diversification_A.txt"
"75","Givnish_et_al_2016_Orchid_historical_biogeography_diversification_A.txt"
"76","Givnish_et_al_2016_Orchid_historical_biogeography_diversification_A.txt"
"77","Givnish_et_al_2016_Orchid_historical_biogeography_diversification_A.txt"
"78","Givnish_et_al_2016_Orchid_historical_biogeography_diversification_A.txt"
"79","Givnish_et_al_2016_Orchid_historical_biogeography_diversification_A.txt"
"80","Goldberg_et_al_2010_Species_selection_maintains_self_incompatibility.txt"
"81","Goldberg_et_al_2017_Macroevolutionary_synthesis_of_flowering_plant_sex.txt"
"82","Goldberg_et_al_2017_Macroevolutionary_synthesis_of_flowering_plant_sex.txt"
"83","Goldberg_et_al_2017_Macroevolutionary_synthesis_of_flowering_plant_sex.txt"
"84","Hernández_Hernández_et_al_2014_Beyond_aridification_Multiple_explanations_for_th.txt"
"85","Hernández_Hernández_et_al_2014_Beyond_aridification_Multiple_explanations_for_th.txt"
"86","Horn_et_al_2014_Evolutionary_bursts_in_Euphorbia_Euphorbiaceae_a.txt"
"87","Janssens_et_al_2016_Evolutionary_dynamics_and_biogeography_of_Musaceae.txt"
"88","Johnson_et_al_2011_Loss_of_sexual_recombination_and_segregation_is_as.txt"
"89","Kadereit_et_al_2012_A_broader_model_for_C4_photosynthesis_evolution_in.txt"
"90","Koenen_et_al_2015_Recently_evolved_diversity_and_convergent_radiatio.txt"
"91","Koutroumpa_et_al_2021_Geo-Climatic_Changes_and_Apomixis_as_Major_Drivers_of_Diversification_in_the_Mediterranean_Sea_Lavenders"
"92","Lagomarsino_et_al_2016_The_abiotic_and_biotic_drivers_of_rapid_diversific.txt"
"93","Lagomarsino_et_al_2016_The_abiotic_and_biotic_drivers_of_rapid_diversific.txt"
"94","Lagomarsino_et_al_2016_The_abiotic_and_biotic_drivers_of_rapid_diversific.txt"
"95","Lagomarsino_et_al_2016_The_abiotic_and_biotic_drivers_of_rapid_diversific.txt"
"96","Lai_et_al_2021_Diversification_in_Qinghai_Tibet_Plateau_Orchidin"
"97","Lai_et_al_2021_Diversification_in_Qinghai_Tibet_Plateau_Orchidin"
"98","Lancaster_and_Kay_2013_Origin_and_diversification_of_the_California_flora.txt"
"99","Lancaster_and_Kay_2013_Origin_and_diversification_of_the_California_flora.txt"
"100","Landis_et_al_2018_Evolution_of_floral_traits_and_impact_of_reproduct.txt"
"101","Larson_Johnson_2016_Phylogenetic_investigation_of_the_complex_evolutio.txt"
"102","Lin_et_al_2015_Range_expansion_and_habitat_shift_triggered_elevat.txt"
"103","Litsios_et_al_2014_Effects_of_a_fire_response_trait_on_diversificatio.txt"
"104","Machado_et_al_2018_Atlantic_forests_to_the_all_Americas_Biogeographi.txt"
"105","Machado_et_al_2018_Atlantic_forests_to_the_all_Americas_Biogeographi.txt"
"106","Marcussen_and_Meseguer_2017_Species_level_phylogeny_fruit_evolution_and_diver.txt"
"107","Matuszak_et_al_2016_Key_innovations_and_climatic_niche_divergence_as_d.txt"
"108","Matuszak_et_al_2016_Key_innovations_and_climatic_niche_divergence_as_d.txt"
"109","Mayrose_et_al_2011_Recently_formed_polyploid_plants_diversify_at_lowe.txt"
"110","Moharrek_et_al_2019_Morphological_innovations_and_vast_extensions_of_m.txt"
"111","Onstein_et_al_2014_Diversification_rate_shifts_in_the_Cape_Floristic.txt"
"112","Onstein_et_al_2014_Diversification_rate_shifts_in_the_Cape_Floristic.txt"
"113","Onstein_et_al_2016_Evolutionary_radiations_of_Proteaceae_are_triggere.txt"
"114","Onstein_et_al_2017_Frugivory_related_traits_promote_speciation_of_tro.txt"
"115","Onstein_et_al_2018_To_adapt_or_go_extinct_The_fate_of_megafaunal_pal.txt"
"116","Pérez_Escobar_et_al_2017_Multiple Geographical Origins of Environmental Sex Determination enhanced the diversification of Darwin’s Favourite Orchids"
"117","Pérez_Escobar_et_al_2017_Multiple Geographical Origins of Environmental Sex Determination enhanced the diversification of Darwin’s Favourite Orchids"
"118","Pérez_Escobar_et_al_2017_Multiple Geographical Origins of Environmental Sex Determination enhanced the diversification of Darwin’s Favourite Orchids"
"119","Pichardo_Marcano_et_al_2019_Phylogeny_historical_biogeography_and_diversifica.txt"
"120","Reyes_et_al_2015_Presence_in_Mediterranean_hotspots_and_floral_symm.txt"
"121","Roalson_and_Roberts_2016_Distinct_processes_drive_diversification_in_differ.txt"
"122","Roalson_and_Roberts_2016_Distinct_processes_drive_diversification_in_differ.txt"
"123","Roalson_and_Roberts_2016_Distinct_processes_drive_diversification_in_differ.txt"
"124","Roalson_and_Roberts_2016_Distinct_processes_drive_diversification_in_differ.txt"
"125","Roalson_and_Roberts_2016_Distinct_processes_drive_diversification_in_differ.txt"
"126","Ruggiero_Bedini_2020_Orbicules in Angiosperms"
"127","Sabath_et_al_2016_Dioecy_does_not_consistently_accelerate_or_slow_li.txt"
"128","Sabath_et_al_2016_Dioecy_does_not_consistently_accelerate_or_slow_li.txt"
"129","Sabath_et_al_2016_Dioecy_does_not_consistently_accelerate_or_slow_li.txt"
"130","Sabath_et_al_2016_Dioecy_does_not_consistently_accelerate_or_slow_li.txt"
"131","Sabath_et_al_2016_Dioecy_does_not_consistently_accelerate_or_slow_li.txt"
"132","Sabath_et_al_2016_Dioecy_does_not_consistently_accelerate_or_slow_li.txt"
"133","Sabath_et_al_2016_Dioecy_does_not_consistently_accelerate_or_slow_li.txt"
"134","Sabath_et_al_2016_Dioecy_does_not_consistently_accelerate_or_slow_li.txt"
"135","Sabath_et_al_2016_Dioecy_does_not_consistently_accelerate_or_slow_li.txt"
"136","Sabath_et_al_2016_Dioecy_does_not_consistently_accelerate_or_slow_li.txt"
"137","Sabath_et_al_2016_Dioecy_does_not_consistently_accelerate_or_slow_li.txt"
"138","Schwery_et_al_2015_As_old_as_the_mountains_The_radiations_of_the_Eri.txt"
"139","Schwery_et_al_2015_As_old_as_the_mountains_The_radiations_of_the_Eri.txt"
"140","Silvestro_et_al_2014_Disentangling_the_effects_of_key_innovations_on_th.txt"
"141","Silvestro_et_al_2014_Disentangling_the_effects_of_key_innovations_on_th.txt"
"142","Slovák_et_al_2018_Diversification_dynamics_and_transoceanic_Eurasian.txt"
"143","Slovák_et_al_2018_Diversification_dynamics_and_transoceanic_Eurasian.txt"
"144","Slovák_et_al_2018_Diversification_dynamics_and_transoceanic_Eurasian.txt"
"145","Soltis_et_al_2013_Phylogenetic_relationships_and_character_evolution.txt"
"146","Soltis_et_al_2013_Phylogenetic_relationships_and_character_evolution.txt"
"147","Spriggs_et_al_2014_C4_photosynthesis_promoted_species_diversification.txt"
"148","Spriggs_et_al_2014_C4_photosynthesis_promoted_species_diversification.txt"
"149","Spriggs_et_al_2015_Temperate_radiations_and_dying_embers_of_a_tropica.txt"
"150","Spriggs_et_al_2015_Temperate_radiations_and_dying_embers_of_a_tropica.txt"
"151","Spriggs_et_al_2015_Temperate_radiations_and_dying_embers_of_a_tropica.txt"
"152","Spriggs_et_al_2015_Temperate_radiations_and_dying_embers_of_a_tropica.txt"
"153","Tripp_and_Tsai_2017_Disentangling_geographical_biotic_and_abiotic_dr.txt"
"154","Tripp_and_Tsai_2017_Disentangling_geographical_biotic_and_abiotic_dr.txt"
"155","Valente_et_al_2011_Explaining_disparities_in_species_richness_between.txt"
"156","Valente_et_al_2011_Explaining_disparities_in_species_richness_between.txt"
"157","Valente_et_al_2012_Did_pollination_shifts_drive_diversification_in_so.txt"
"158","Verdú_and_Pausas_2013_Syndrome_driven_diversification_in_a_mediterranean.txt"
"159","Verdú_and_Pausas_2013_Syndrome_driven_diversification_in_a_mediterranean.txt"
"160","Verstraete_et_al_2017_Non_nodulated_bacterial_leaf_symbiosis_promotes_th.txt"
"161","Weber_and_Agrawal_2014_Defense_mutualisms_enhance_plant_diversification.txt"
"162","Weber_and_Agrawal_2014_Defense_mutualisms_enhance_plant_diversification.txt"
"163","Weber_and_Agrawal_2014_Defense_mutualisms_enhance_plant_diversification.txt"
"164","Wessinger_et_al_2019_Adaptation_to_hummingbird_pollination_is_associate.txt"
"165","Williams_et_al_2014_Repeated_evolution_of_tricellular_(and_bicellular).txt"
"166","Willis_et_al_2014_Diversification_and_the_evolution_of_dispersal_abi.txt"
"167","Willis_et_al_2014_Diversification_and_the_evolution_of_dispersal_abi.txt"
"168","Xue_et_al_2020_Accelerated_diversification_correlated_with_functi.txt"
"169","Xue_et_al_2020_Accelerated_diversification_correlated_with_functi.txt"
"170","Xue_et_al_2020_Accelerated_diversification_correlated_with_functi.txt"
"171","Xue_et_al_2020_Accelerated_diversification_correlated_with_functi.txt"
"172","Zenil_Ferguson_et_al_2019_Interaction_among_ploidy_breeding_system_and_line.txt"
"173","Zenil_Ferguson_et_al_2019_Interaction_among_ploidy_breeding_system_and_line.txt"
