study,year,sse_model,model_no,trait_level_1,trait_level_2,trait_level_3,trait_level_4,trait_level_5,trait_level_6,character_state,putative_ancestral_state,clade,level,order,family,div_inc,sp_inc,ext_inc,no_markers,no_plastid,no_nuclear,no_mito,age,age_inferred,tips,perc_sampling,sampling_per_state,samples_per_state,transition_direction,transition_rate,div_rate
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,9,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Lamiales,Order,Lamiales,Multiple,1,0,0,7,4,3,0,61.4,1,1397,0.09430905286,0.12,1013,,,0.135024625
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,9,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Lamiales,Order,Lamiales,Multiple,0,1,1,7,4,3,0,61.4,1,1397,0.09430905286,0.04,385,,,0.028729901
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,10,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Malphigales,Order,Malpighiales,Multiple,0,1,1,7,4,3,0,105.8,1,1219,0.1120198493,0.09,410,,,0.040013453
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,10,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Malphigales,Order,Malpighiales,Multiple,0,0,0,7,4,3,0,105.8,1,1219,0.1120198493,0.09,816,,,0.042917265
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,11,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Malvales,Order,Malvales,Multiple,1,1,1,7,4,3,0,81,1,446,0.1014097317,0.1,216,,,0.069769823
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,11,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Malvales,Order,Malvales,Multiple,0,0,0,7,4,3,0,81,1,446,0.1014097317,0.07,201,,,0.019112018
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,12,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Myrtales,Order,Myrtales,Multiple,1,0,0,7,4,3,0,88.2,1,825,0.09776039815,0.12,426,,,0.129147178
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,12,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Myrtales,Order,Myrtales,Multiple,0,1,1,7,4,3,0,88.2,1,825,0.09776039815,0.06,395,,,0.008104891
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,13,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Poales,Order,Poales,Multiple,1,0,0,7,4,3,0,90.2,1,2190,0.1578719723,0.18,1693,,,0.813935024
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,13,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Poales,Order,Poales,Multiple,0,1,1,7,4,3,0,90.2,1,2190,0.1578719723,0.06,521,,,-1.046097388
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,14,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Ranunculales,Order,Ranunculales,Multiple,0,0,0,7,4,3,0,133,1,468,0.1685878963,0.18,398,,,0.021253539
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,14,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Ranunculales,Order,Ranunculales,Multiple,0,0,0,7,4,3,0,133,1,468,0.1685878963,0.07,59,,,0.020996259
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,15,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Rosales,Order,Rosales,Multiple,0,0,0,7,4,3,0,89.3,1,852,0.1332082552,0.13,567,,,0.045433684
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,15,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Rosales,Order,Rosales,Multiple,0,0,0,7,4,3,0,89.3,1,852,0.1332082552,0.09,275,,,0.055169368
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,16,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Sapindales,Order,Sapindales,Multiple,1,0,0,7,4,3,0,73.8,1,667,0.133640553,0.12,269,,,0.094659899
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,16,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Sapindales,Order,Sapindales,Multiple,0,0,0,7,4,3,0,73.8,1,667,0.133640553,0.1,397,,,0.057398082
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,17,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Non-tropical,,Solanales,Order,Solanales,Multiple,1,0,0,7,4,3,0,66.2,1,512,0.1552456034,0.14,260,,,0.774969892
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,17,Extrinsic,Biogeography,Biome,Biome,Biome,Biome,Tropical,,Solanales,Order,Solanales,Multiple,0,1,1,7,4,3,0,66.2,1,512,0.1552456034,0.1,252,,,-0.593573519
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,18,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,African Tropics,,Apiales,Order,Apiales,Multiple,0,1,1,7,4,3,0,91.7,1,478,0.1535003211,0.05,15,,,0.0197015862
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,18,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Asian Tropics,,Apiales,Order,Apiales,Multiple,1,0,0,7,4,3,0,91.7,1,478,0.1535003211,0.1,53,,,0.0531620181
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,18,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Neotropics,,Apiales,Order,Apiales,Multiple,1,2,2,7,4,3,0,91.7,1,478,0.1535003211,0.05,29,,,0.0687533844
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,19,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,African Tropics,,Asparagales,Order,Asparagales,Multiple,0,1,1,7,4,3,0,124.9,1,1601,0.1147176842,0.07,159,,,0.0312328939
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,19,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Asian Tropics,,Asparagales,Order,Asparagales,Multiple,0,0,0,7,4,3,0,124.9,1,1601,0.1147176842,0.05,110,,,0.0434828803
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,19,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Neotropics,,Asparagales,Order,Asparagales,Multiple,0,2,2,7,4,3,0,124.9,1,1601,0.1147176842,0.09,458,,,0.0293509256
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,20,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,African Tropics,,Asterales,Order,Asterales,Multiple,1,1,1,7,4,3,0,83.7,1,1958,0.101910165,0.03,45,,,0.1358653956
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,20,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Asian Tropics,,Asterales,Order,Asterales,Multiple,0,0,0,7,4,3,0,83.7,1,1958,0.101910165,0.05,51,,,-0.0336306496
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,20,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Neotropics,,Asterales,Order,Asterales,Multiple,0,2,2,7,4,3,0,83.7,1,1958,0.101910165,0.03,160,,,0.0283513203
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,21,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,African Tropics,,Brassicales,Order,Brassicales,Multiple,1,0,0,7,4,3,0,77.7,1,497,0.1687606112,0.07,18,,,0.0533432579
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,21,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Asian Tropics,,Brassicales,Order,Brassicales,Multiple,0,2,2,7,4,3,0,77.7,1,497,0.1687606112,0.04,9,,,-0.0049896513
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,21,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Neotropics,,Brassicales,Order,Brassicales,Multiple,2,1,1,7,4,3,0,77.7,1,497,0.1687606112,0.07,37,,,0.0981251609
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,22,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,African Tropics,,Carophyllales,Order,Caryophyllales,Multiple,0,1,1,7,4,3,0,89.5,1,945,0.1182432432,0.06,34,,,0.0459279278
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,22,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Asian Tropics,,Carophyllales,Order,Caryophyllales,Multiple,1,0,0,7,4,3,0,89.5,1,945,0.1182432432,0.06,33,,,0.1151153342
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,22,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Neotropics,,Carophyllales,Order,Caryophyllales,Multiple,0,2,2,7,4,3,0,89.5,1,945,0.1182432432,0.06,126,,,0.038056155
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,23,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,African Tropics,,Ericales,Order,Ericales,Multiple,2,1,1,7,4,3,0,92.4,1,1233,0.1484647803,0.05,54,,,0.0630920939
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,23,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Asian Tropics,,Ericales,Order,Ericales,Multiple,0,1,1,7,4,3,0,92.4,1,1233,0.1484647803,0.08,154,,,0.0144437787
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,23,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Neotropics,,Ericales,Order,Ericales,Multiple,1,0,0,7,4,3,0,92.4,1,1233,0.1484647803,0.11,289,,,0.029920316
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,24,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,African Tropics,,Fabales,Order,Fabales,Multiple,1,1,1,7,4,3,0,72,1,2050,0.1362216759,0.09,282,,,0.0476596425
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,24,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Asian Tropics,,Fabales,Order,Fabales,Multiple,2,0,0,7,4,3,0,72,1,2050,0.1362216759,0.07,125,,,0.5614609073
Antonelli_et_al_2015_An_engine_for_global_plant_diversity_Highest_evol.txt,2015,MuSSE,24,Extrinsic,Biogeography,GeographicRange,GeographicRange,GeographicRange,GeographicRange,Neotropics,,Fabales,Order,Fabales,Multiple,0,2,2,7,4,3,0,72,1,2050,0.1362216759,0.09,492,,,-0.1345611234
